health_issue,issue_type,affected_area,severity_levels,recommended_asanas,blocked_pose_types,medical_consultation_required
cold,internal,respiratory,mild;moderate,Anulom_Vilom;Shavasana,none,none
cough,internal,respiratory,mild;moderate,Anulom_Vilom;Bhastrika,forceful_breathing,none
fever,internal,systemic,mild,Shavasana;Balasana,active_poses,consult_if_high
headache,internal,head;migraine,mild;moderate,Sukhasana;Shavasana,inversion,none
sore_throat,internal,throat,mild,Matsyasana,none,none
nausea,internal,digestive,mild,Sukhasana;Shavasana,twists,none
asthma,internal,lungs,mild;moderate,Anulom_Vilom;Bhastrika,forceful_breathing,consult_doctor
high_bp,internal,heart,moderate,Shavasana;Sukhasana,fast_breathing,consult_doctor
diabetes,internal,metabolism,moderate,Paschimottanasana;Dhanurasana,none,none
obesity,internal,full_body,mild;moderate,Surya_Namaskar;Kapalbhati,none,none
digestive_problems,internal,abdomen,mild,Pawanmuktasana;Vajrasana,none,none
constipation,internal,abdomen,mild,Pawanmuktasana;Vajrasana,none,none
bloating,internal,abdomen,mild,Pawanmuktasana,none,none
acidity,internal,stomach,mild,Vajrasana;Shavasana,forward_bends,none
weak_immunity,internal,immune,mild,Anulom_Vilom;Surya_Namaskar,none,none
stress,both,nervous,mild;moderate,Shavasana;Anulom_Vilom;Sukhasana,none,none
anxiety,both,nervous,mild;moderate,Shavasana;Sukhasana,stimulating_poses,none
insomnia,both,nervous,mild;moderate,Shavasana;Balasana,stimulating_poses,none
ankle_pain,physical,ankle,mild;moderate,Supta_Padangusthasana;Balasana,standing;squatting,none
knee_pain,physical,knee,mild;moderate,Balasana;Shavasana,standing;squatting,none
back_pain,physical,spine,mild;moderate,Bhujangasana;Balasana;Marjariasana,deep_backbend,none
severe_back_pain,physical,spine,severe,Shavasana,supine,consult_doctor
neck_pain,physical,neck,mild;moderate,Matsyasana;Sukhasana,inversion,none
joint_pain,physical,joints,mild,Balasana;Shavasana,standing,none
